order,Catalogue Number,Species,genus,Longitude,Latitude,Coordinate Uncertainty in Metres
5038,PERTH 6856012,Blackallia nudiflora,Blackallia,114.6,-28.2,10100
5039,PERTH 1310674,Blackallia nudiflora,Blackallia,114.7,-28.2,13000
5040,PERTH 1310240,Blackallia nudiflora,Blackallia,114.7,-28,13000
5041,PERTH 4963407,Blackallia nudiflora,Blackallia,114.3,-28.2,10100
5042,PERTH 8959773,Blackallia nudiflora,Blackallia,114.6,-28.6,10100
5043,PERTH 4159837,Blackallia nudiflora,Blackallia,114.6,-28.2,10000
5044,PERTH 4160177,Blackallia nudiflora,Blackallia,114.4,-28.2,10000
5045,PERTH 6321445,Blackallia nudiflora,Blackallia,114.7,-28.8,20000
5046,PERTH 4159802,Blackallia nudiflora,Blackallia,114.5,-28.3,10000
5047,PERTH 4102584,Blackallia nudiflora,Blackallia,116,-30.9,20000
5048,PERTH 4761413,Blackallia nudiflora,Blackallia,114.6,-28.2,10000
5049,PERTH 4761502,Blackallia nudiflora,Blackallia,114.6,-28.2,10000
5050,PERTH 4761510,Blackallia nudiflora,Blackallia,114.6,-28.2,10000
5051,PERTH 1751468,Blackallia nudiflora,Blackallia,114.5,-28.3,13000
5052,PERTH 5874505,Blackallia nudiflora,Blackallia,114.4,-28.2,10100
5053,PERTH 4159756,Blackallia nudiflora,Blackallia,114.4,-28.2,10000
5054,PERTH 4106830,Blackallia nudiflora,Blackallia,114.6,-28.2,10100
5055,PERTH 4159926,Blackallia nudiflora,Blackallia,114.5,-28.2,10000
5056,AD 213436,Blackallia nudiflora,Blackallia,114.4,-28.2,10150
5057,PERTH 3860671,Blackallia nudiflora,Blackallia,114.4,-28.2,20000
5058,PERTH 1162640,Blackallia nudiflora,Blackallia,116,-30.8,20000
5059,PERTH 1310666,Blackallia nudiflora,Blackallia,114.6,-28.2,13000
5060,AD 213446,Blackallia nudiflora,Blackallia,114.6,-28.2,10150
5061,MEL 2103354A,Blackallia nudiflora,Blackallia,114.6,-28.6,20000
5062,PERTH 8539812,Blackallia nudiflora,Blackallia,115.2,-29.7,10100
5063,MEL 1618193A,Blackallia nudiflora,Blackallia,116.2,-27,35000
5064,MEL 1618388A,Blackallia nudiflora,Blackallia,114.2,-28.2,20000
5065,MEL 2103353A,Blackallia nudiflora,Blackallia,114.5,-28.3,35000
5066,PERTH 1310259,Blackallia nudiflora,Blackallia,114.3,-28.2,13000
5067,MEL 1618389A,Blackallia nudiflora,Blackallia,114.2,-28.2,20000
1,HO42063,Cryptandra alpina,Cryptandra,146.734366,-41.865283,10000
2,HO134621,Cryptandra alpina,Cryptandra,147.134365,-42.231948,1000
3,HO106650,Cryptandra alpina,Cryptandra,146.567702,-41.848618,1000
4,HO117508,Cryptandra alpina,Cryptandra,146.85103,-41.848615,1000
5,HO65730,Cryptandra alpina,Cryptandra,146.284372,-41.815287,10000
6,MEL 1606618A,Cryptandra alpina,Cryptandra,147.1333,-42.2333,10000
7,HO121046,Cryptandra alpina,Cryptandra,146.292824,-41.838131,50
8,CBG 8900278.1,Cryptandra alpina,Cryptandra,147.1333,-42.2333,1000
9,HO503804,Cryptandra alpina,Cryptandra,146.751033,-41.898616,10000
10,AD 99151033,Cryptandra alpina,Cryptandra,147.1344327,-42.23203079,10000
11,HO34990,Cryptandra alpina,Cryptandra,146.38437,-41.831952,1000
12,HO36247,Cryptandra alpina,Cryptandra,147.417682,-41.38194,1000
13,NSW 382472,Cryptandra alpina,Cryptandra,147.42,-41.37,1000
14,NSW 811472,Cryptandra alpina,Cryptandra,146.4,-41.65,25000
15,HO143559,Cryptandra alpina,Cryptandra,146.759324,-41.734673,50
16,NSW 811470,Cryptandra alpina,Cryptandra,146.47,-41.72,10000
17,HO559997,Cryptandra alpina,Cryptandra,147.75,-41.383333,1000
18,HO402356,Cryptandra alpina,Cryptandra,146.393947,-41.843213,50
19,HO21183,Cryptandra alpina,Cryptandra,146.751036,-42.131951,10000
20,MEL 0249250A,Cryptandra alpina,Cryptandra,146.6,-41.8667,10000
21,HO144518,Cryptandra alpina,Cryptandra,146.866121,-41.842932,50
22,HO574963,Cryptandra alpina,Cryptandra,146.465861,-41.98425,50
23,HO82587,Cryptandra alpina,Cryptandra,146.651035,-41.965285,10000
24,HO121877,Cryptandra alpina,Cryptandra,146.496688,-41.797774,50
25,CBG 8700696.1,Cryptandra alpina,Cryptandra,146.5,-41.85,1000
26,NSW 405893,Cryptandra alpina,Cryptandra,146.5413889,-41.7755556,50
27,CBG 8903607.1,Cryptandra alpina,Cryptandra,146.5333,-41.8667,
28,HO74524,Cryptandra alpina,Cryptandra,147.567682,-41.548607,1000
29,HO74538,Cryptandra alpina,Cryptandra,147.567682,-41.548607,1000
30,HO555035,Cryptandra alpina,Cryptandra,147.417221,-41.381979,50
31,HO317094,Cryptandra alpina,Cryptandra,147.421847,-41.377774,50
32,HO400592,Cryptandra alpina,Cryptandra,146.522974,-41.824006,50
33,HO21182,Cryptandra alpina,Cryptandra,147.651014,-41.565274,1000
34,HO116681,Cryptandra alpina,Cryptandra,146.667701,-41.915284,1000
35,HO21184,Cryptandra alpina,Cryptandra,146.917696,-41.848615,10000
36,HO77449,Cryptandra alpina,Cryptandra,147.534348,-41.515274,1000
37,HO527468,Cryptandra alpina,Cryptandra,147.767676,-41.398605,1000
38,NSW 811473,Cryptandra alpina,Cryptandra,146.72,-41.87,10000
39,HO142488,Cryptandra alpina,Cryptandra,146.282246,-42.029909,50
40,HO84275,Cryptandra alpina,Cryptandra,146.496688,-41.797774,50
41,HO105551,Cryptandra alpina,Cryptandra,146.758139,-41.730167,50
42,HO56122,Cryptandra alpina,Cryptandra,146.867697,-41.831948,10000
43,HO74144,Cryptandra alpina,Cryptandra,147.601014,-41.515274,1000
44,HO569863,Cryptandra alpina,Cryptandra,146.567702,-41.848618,1000
45,HO588010,Cryptandra alpina,Cryptandra,146.398815,-41.820008,1000
46,HO301897,Cryptandra alpina,Cryptandra,147.418405,-41.380173,50
47,HO402813,Cryptandra alpina,Cryptandra,146.625709,-41.758636,50
48,HO119557,Cryptandra alpina,Cryptandra,146.207261,-41.842076,50
49,MEL 0694926A,Cryptandra alpina,Cryptandra,146.3667,-41.6667,10000
50,HO400567,Cryptandra alpina,Cryptandra,146.528975,-41.826733,50
51,HO91934,Cryptandra alpina,Cryptandra,146.534367,-41.781951,10000
52,HO402375,Cryptandra alpina,Cryptandra,146.598542,-41.871131,50
53,HO411806,Cryptandra alpina,Cryptandra,146.051045,-41.96529,10000
54,HO98122,Cryptandra alpina,Cryptandra,147.63149,-41.401721,50
55,HO410324,Cryptandra alpina,Cryptandra,146.573434,-41.841318,50
56,HO102990,Cryptandra alpina,Cryptandra,146.214058,-41.877249,50
57,HO21185,Cryptandra alpina,Cryptandra,146.751033,-41.915284,10000
58,NSW 811471,Cryptandra alpina,Cryptandra,,,
59,NSW 387553,Cryptandra amara,Cryptandra,149.72,-34.75,5
60,CANB 268275.1,Cryptandra amara,Cryptandra,149.5,-36.3333,5000
61,MEL 2338206A,Cryptandra amara,Cryptandra,147.3011111,-37.05194444,50
62,NSW 654899,Cryptandra amara,Cryptandra,149.5,-36.33,2000
63,MEL 2473906A,Cryptandra amara,Cryptandra,149.5,-36.33333333,1000
64,CANB 826655.1,Cryptandra amara,Cryptandra,147.2664,-42.6931,50
65,CANB 728852.1,Cryptandra amara,Cryptandra,147.3011,-37.0519,250
66,CANB 612608.1,Cryptandra amara,Cryptandra,149.1917,-35.4,1000
67,MEL 2103205A,Cryptandra amara,Cryptandra,,,
68,HO575648,Cryptandra amara,Cryptandra,147.266361,-42.693056,50
69,NSW 992352,Cryptandra amara,Cryptandra,150.1722119,-33.417693,
70,CANB 806104.1,Cryptandra amara,Cryptandra,149.2292,-35.2211,50
71,CANB 347670.1,Cryptandra amara,Cryptandra,150.0797,-33.99,2000
72,CBG 6552.1,Cryptandra amara,Cryptandra,150,-34.7,1000
73,NSW 834563,Cryptandra amara,Cryptandra,149.38,-35.75,2000
74,MEL 0237978A,Cryptandra amara,Cryptandra,,,
75,CANB 5888.1,Cryptandra amara,Cryptandra,150.3833,-33.5,5000
76,CANB 74835.1,Cryptandra amara,Cryptandra,149,-34.9333,1000
77,NSW 851014,Cryptandra amara,Cryptandra,149.196178,-32.303683,
78,CBG 16536.1,Cryptandra amara,Cryptandra,150.2833,-33.6167,1000
79,NSW 982240,Cryptandra amara,Cryptandra,150.599581,-34.321783,
80,HO409908,Cryptandra amara,Cryptandra,148.053517,-42.047133,50
81,CBG 9402628.1,Cryptandra amara,Cryptandra,150.6,-33.7167,1000
82,NSW 382431,Cryptandra amara,Cryptandra,150.6,-33.72,
83,CBG 2625.1,Cryptandra amara,Cryptandra,149.1,-35.2667,2000
84,CANB 449348.1,Cryptandra amara,Cryptandra,149.3833,-35.75,2000
85,CHR 472855,Cryptandra amara,Cryptandra,,,
86,CBG 21695.1,Cryptandra amara,Cryptandra,150.05,-35.2667,5000
87,NSW 745269,Cryptandra amara,Cryptandra,,,
88,NSW 861958,Cryptandra amara,Cryptandra,150.6606,-33.2119,4.1
89,MEL 2020588A,Cryptandra amara,Cryptandra,146.6194,-37.5583,1000
90,NE 63837,Cryptandra amara,Cryptandra,151.6855556,-29.30333333,
91,NSW 923828,Cryptandra amara,Cryptandra,,,
92,NSW 654906,Cryptandra amara,Cryptandra,150.37,-33.72,5000
93,NSW 204905,Cryptandra amara,Cryptandra,149.3,-36.57,1000
94,CANB 278605.1,Cryptandra amara,Cryptandra,151.2833,-33.8167,1000
95,CBG 8602351.1,Cryptandra amara,Cryptandra,149.8336,-37.2611,1000
96,HO526280,Cryptandra amara,Cryptandra,147.265961,-42.693797,50
97,NSW 745279,Cryptandra amara,Cryptandra,150.1961,-33.2906,
98,NSW 504228,Cryptandra amara,Cryptandra,,,
99,NSW 994004,Cryptandra amara,Cryptandra,150.3284253,-34.4811372,50
100,NSW 833121,Cryptandra amara,Cryptandra,151.6403,-31.7042,
101,NE 81709,Cryptandra amara,Cryptandra,151.65,-30.5,
102,CBG 9309597.1,Cryptandra amara,Cryptandra,149.4,-35.3,1000
103,HO303800,Cryptandra amara,Cryptandra,148.067681,-42.048606,1000
104,NSW 993747,Cryptandra amara,Cryptandra,149.745815,-33.4285789,
105,CBG 12506.1,Cryptandra amara,Cryptandra,151.0167,-34.0167,2000
106,CBG 7800647.1,Cryptandra amara,Cryptandra,,,
107,NSW 653883,Cryptandra amara,Cryptandra,152.13,-28.85,5000
108,MEL 1550029A,Cryptandra amara,Cryptandra,146.45,-36.8667,1000
109,NSW 745278,Cryptandra amara,Cryptandra,,,
110,NSW 387584,Cryptandra amara,Cryptandra,,,
111,NSW 653887,Cryptandra amara,Cryptandra,,,
112,NE 94136,Cryptandra amara,Cryptandra,151.6402778,-31.70416667,
113,CANB 123962.1,Cryptandra amara,Cryptandra,149.1,-35.2667,5000
114,CBG 6553.1,Cryptandra amara,Cryptandra,150.2833,-33.6167,3000
115,AD 250480,Cryptandra amara,Cryptandra,150.4509464,-33.74863401,1000
116,NSW 745266,Cryptandra amara,Cryptandra,,,
117,AD 250501,Cryptandra amara,Cryptandra,151.1426056,-33.9402968,150
118,NSW 387725,Cryptandra amara,Cryptandra,,,
119,CHR 46666,Cryptandra amara,Cryptandra,,,
120,CANB 751878.1,Cryptandra amara,Cryptandra,149.0114,-35.8681,150
121,CANB 166556.1,Cryptandra amara,Cryptandra,149.7833,-35.1833,5000
122,CBG 2609.1,Cryptandra amara,Cryptandra,151.0167,-34.0167,2000
123,NE 50502,Cryptandra amara,Cryptandra,152.25,-30.55,
124,AD 225923,Cryptandra amara,Cryptandra,150.2509585,-34.69863771,1000
125,NSW 701460,Cryptandra amara,Cryptandra,150.0963889,-32.9566667,50
126,AD 232476,Cryptandra amara,Cryptandra,150.2342918,-34.69863782,1000
127,NSW 270555,Cryptandra amara,Cryptandra,150.97,-34.0244444,
128,CBG 28629.1,Cryptandra amara,Cryptandra,151.05,-34.0833,3000
129,NSW 745354,Cryptandra amara,Cryptandra,,,
130,NSW 387583,Cryptandra amara,Cryptandra,,,
131,HO540182,Cryptandra amara,Cryptandra,150.300879,-33.648556,1000
132,HO540184,Cryptandra amara,Cryptandra,150.550875,-33.648554,1000
133,HO540321,Cryptandra amara,Cryptandra,147.483333,-41.616667,1000
134,NSW 654900,Cryptandra amara,Cryptandra,,,
135,BRI AQ0472838,Cryptandra amara,Cryptandra,152.4260867,-28.2234079,2000
136,CANB 472399.1,Cryptandra amara,Cryptandra,150.2333,-34.7,1000
137,HO541245,Cryptandra amara,Cryptandra,146.917778,-42.466111,1000
138,MEL 2016232A,Cryptandra amara,Cryptandra,148.3778,-36.8222,1000
139,MEL 2324510A,Cryptandra amara,Cryptandra,150.0964,-32.9567,1000
140,CHR 513046,Cryptandra amara,Cryptandra,,,
141,CANB 5889.1,Cryptandra amara,Cryptandra,150.3833,-33.5,2500
142,NE 63278,Cryptandra amara,Cryptandra,151.1491667,-30.75305556,
143,MEL 2105661A,Cryptandra amara,Cryptandra,150.25,-34,
144,MEL 2053088A,Cryptandra amara,Cryptandra,151.0622,-34.07,1000
145,NSW 258098,Cryptandra amara,Cryptandra,150.9628,-33.6139,
146,NSW 387587,Cryptandra amara,Cryptandra,,,
147,MEL 2334963A,Cryptandra amara,Cryptandra,150.3,-34.6833,1000
148,CANB 79726.1,Cryptandra amara,Cryptandra,149.1,-35.2667,5000
149,NSW 421735,Cryptandra amara,Cryptandra,151.0622222,-34.07,50
150,NSW 387589,Cryptandra amara,Cryptandra,,,
151,MEL 2103609A,Cryptandra amara,Cryptandra,150.25,-34,
152,NSW 809442,Cryptandra amara,Cryptandra,149.73,-34.8,1000
153,MEL 0689909A,Cryptandra amara,Cryptandra,149.8361,-37.2611,50
154,NSW 387594,Cryptandra amara,Cryptandra,,,
155,CANB 725930.1,Cryptandra amara,Cryptandra,151.1667,-33.9167,1000
156,HO542562,Cryptandra amara,Cryptandra,146.9,-42.45,1000
157,CBG 6551.2,Cryptandra amara,Cryptandra,150.7,-35.1333,6000
158,CANB 751884.1,Cryptandra amara,Cryptandra,149.1,-35.2611,1000
159,NSW 393283,Cryptandra amara,Cryptandra,151.1,-33.92,
160,NSW 45586,Cryptandra amara,Cryptandra,150.22,-33.17,5
161,NSW 387580,Cryptandra amara,Cryptandra,,,
162,MEL 0671606A,Cryptandra amara,Cryptandra,149.6944,-37.2222,1000
163,NSW 745368,Cryptandra amara,Cryptandra,,,
164,CANB 5882.1,Cryptandra amara,Cryptandra,149.4167,-33.0333,5000
165,NSW 386692,Cryptandra amara,Cryptandra,149.5,-30.75,
166,NSW 210579,Cryptandra amara,Cryptandra,151.9552778,-28.82,
167,CBG 6551.1,Cryptandra amara,Cryptandra,150.7,-35.1333,6000
168,NE 29597,Cryptandra amara,Cryptandra,152.4833333,-30.23333333,
169,NSW 244471,Cryptandra amara,Cryptandra,150.92,-32.75,
170,NE 73122,Cryptandra amara,Cryptandra,152.1666667,-30.48333333,
171,HO411357,Cryptandra amara,Cryptandra,147.298111,-42.266836,50
172,NE 11756,Cryptandra amara,Cryptandra,151.7833333,-29.33333333,
173,CANB 304970.1,Cryptandra amara,Cryptandra,148.6844,-36.9583,1000
174,CANB 26972.1,Cryptandra amara,Cryptandra,149.8833,-34.3167,1000
175,NE 70254,Cryptandra amara,Cryptandra,151.1166667,-30.64166667,
176,CANB 751868.1,Cryptandra amara,Cryptandra,149.0892,-35.28,150
177,DNA A0030736,Cryptandra amara,Cryptandra,,,
178,NSW 386862,Cryptandra amara,Cryptandra,147.1416667,-34.08,1000
179,NSW 386712,Cryptandra amara,Cryptandra,151.93,-28.57,
180,CANB 262950.1,Cryptandra amara,Cryptandra,149.0833,-35.25,5000
181,NSW 1059781,Cryptandra amara,Cryptandra,148.34531,-32.66406,
182,CANB 126684.1,Cryptandra amara,Cryptandra,149.2,-35.2167,5000
183,NE 103215,Cryptandra amara,Cryptandra,151.6166667,-29.25,
184,CANB 54241.1,Cryptandra amara,Cryptandra,149.1,-35.2667,1000
185,CANB 249006.1,Cryptandra amara,Cryptandra,151.9333,-28.5667,1000
186,NE 48268,Cryptandra amara,Cryptandra,151.8333333,-30.56666667,
187,CANB 805019.1,Cryptandra amara,Cryptandra,149.7022,-35.2311,50
188,AD 99208071,Cryptandra amara,Cryptandra,151.2508992,-29.43612405,1000
189,CANB 821971.1,Cryptandra amara,Cryptandra,147.2667,-42.6922,50
190,NSW 387823,Cryptandra amara,Cryptandra,151.100838,-30.16854733,5000
191,NE 12720,Cryptandra amara,Cryptandra,151.65,-30.5,
192,CBG 9515868.1,Cryptandra amara,Cryptandra,149.2667,-35.35,1000
193,CBG 9300918.1,Cryptandra amara,Cryptandra,151.25,-29.4375,1000
194,CANB 5890.1,Cryptandra amara,Cryptandra,150.1833,-35.75,5000
195,CANB 725931.1,Cryptandra amara,Cryptandra,148.9167,-34.85,1000
196,CBG 12476.1,Cryptandra amara,Cryptandra,149.2167,-35.35,3000
197,NSW 386678,Cryptandra amara,Cryptandra,152.08,-29.67,5
198,CANB 126661.1,Cryptandra amara,Cryptandra,149.1833,-35.2167,5000
199,NSW 434302,Cryptandra amara,Cryptandra,151.9475,-28.5480556,50
200,MEL 1587193A,Cryptandra amara,Cryptandra,146.4458,-36.8667,1000
201,CANB 28937.1,Cryptandra amara,Cryptandra,149,-32.6333,1000
202,MEL 2416635A,Cryptandra amara,Cryptandra,147.5503611,-36.0044167,50
203,CBG 8905441.1,Cryptandra amara,Cryptandra,146.6681,-37.5111,50
204,BRI AQ0009487,Cryptandra amara,Cryptandra,152.0094254,-28.6067405,2000
205,NSW 386738,Cryptandra amara,Cryptandra,,,
206,DNA A0027521,Cryptandra amara,Cryptandra,,,
207,MEL 1606158A,Cryptandra amara,Cryptandra,151.25,-29.4375,50
208,MEL 2404750A,Cryptandra amara,Cryptandra,146.4375,-36.86833333,50
